WER/EER Summary
Generated: 2026-03-09 16:47:17
Config: list2, speaker4
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0385               6.21              27.76
pitch                       4     0.0513               6.21              15.69
pitch                       5     0.0256               6.21               9.14
pitch                       6     0.0513               6.21               6.55
pitch                       7     0.0385               6.21               6.21
pitch                       8     0.0000               6.21               6.21
pitch                       9     0.0513               6.21               6.21
pitch                      10     0.0385               6.21               6.21
pitch                      11     0.0897               6.21              15.35
pitch                      12     0.1154               6.21              18.62
pitch                      13     0.1795               6.16              19.93
pitch                      14     0.1923               7.67              17.16
pitch                      15     0.2692               6.21              21.90
formant                     3     0.0000               4.40               4.40
formant                     4     0.0128               6.21               6.21
formant                     5     0.0128               6.21               6.21
formant                     6     0.0128               6.21               6.21
formant                     7     0.0000               6.21               6.21
formant                     8     0.0000               6.21               6.21
formant                     9     0.0000               6.21               6.21
formant                    10     0.0385               7.67               7.67
formant                    11     0.0256               6.21               6.21
formant                    12     0.0256               6.21               6.21
formant                    13     0.0000               6.21               6.21
formant                    14     0.0256               6.21               6.21
formant                    15     0.0256               6.21               6.21
mcadams                     3     0.0769               4.74               6.21
mcadams                     4     0.1026               6.21               7.67
mcadams                     5     0.1410               4.74               6.21
mcadams                     6     0.1282               6.21               6.21
mcadams                     7     0.1282               6.21               6.21
mcadams                     8     0.2179               6.21               7.67
mcadams                     9     0.1923               6.21               6.55
mcadams                    10     0.2179               6.21               6.21
mcadams                    11     0.0385               6.21               7.67
mcadams                    12     0.1538               6.21               6.21
mcadams                    13     0.3205               6.21               7.67
mcadams                    14     0.1667               6.21               6.21
mcadams                    15     0.2692               6.21               6.21
pitch+formant               3     0.0395               6.81              20.44
pitch+formant               4     0.0641               6.21              18.62
pitch+formant               5     0.0513               6.21              12.41
pitch+formant               6     0.0128               6.21               6.55
pitch+formant               7     0.0000               6.21               6.21
pitch+formant               8     0.0000               6.21               6.21
pitch+formant               9     0.0256               6.21               6.21
pitch+formant              10     0.0769               6.21               7.67
pitch+formant              11     0.0128               6.21              15.69
pitch+formant              12     0.1795               6.21              25.17
pitch+formant              13     0.1410               6.21              20.43
pitch+formant              14     0.3205               6.21              22.24
pitch+formant              15     0.2821               6.21              18.62
pitch+mcadams               3     0.1282               6.21              39.39
pitch+mcadams               4     0.2821               6.21              31.38
pitch+mcadams               5     0.2179               6.21              28.45
pitch+mcadams               6     0.1154               6.21              23.36
pitch+mcadams               7     0.1795               6.21               6.55
pitch+mcadams               8     0.3077               6.21               7.67
pitch+mcadams               9     0.3462               6.21               7.67
pitch+mcadams              10     0.2308               6.21              11.29
pitch+mcadams              11     0.1538               6.21              17.16
pitch+mcadams              12     0.3718               6.21              23.71
pitch+mcadams              13     0.4615               6.21              29.91
pitch+mcadams              14     0.4615               6.21              25.17
pitch+mcadams              15     0.9744               6.21              16.81
formant+mcadams             3     0.0641               6.21               6.21
formant+mcadams             4     0.5897               6.21               6.55
formant+mcadams             5     0.5513               6.21               9.48
formant+mcadams             6     0.5256               6.21              10.95
formant+mcadams             7     0.4359               6.21               6.55
formant+mcadams             8     0.1154               6.21               7.67
formant+mcadams             9     0.5641               6.21               7.67
formant+mcadams            10     0.7436               6.21               9.14
formant+mcadams            11     0.0513               6.21               7.67
formant+mcadams            12     0.6026               4.74               6.21
formant+mcadams            13     0.4744               6.21               7.67
formant+mcadams            14     0.8462               6.16              17.02
formant+mcadams            15     0.4103               6.21               8.02
pitch+formant+mcadams       3     0.1667               6.21              36.12
pitch+formant+mcadams       4     0.5897               6.21              46.73
pitch+formant+mcadams       5     0.4615               6.21              36.12
pitch+formant+mcadams       6     0.4615               6.21              35.78
pitch+formant+mcadams       7     0.5769               6.21              20.09
pitch+formant+mcadams       8     0.2179               6.21               6.55
pitch+formant+mcadams       9     0.6282               6.21               9.48
pitch+formant+mcadams      10     1.0000               6.21              16.81
pitch+formant+mcadams      11     0.1923               6.21              29.57
pitch+formant+mcadams      12     1.0000               6.21              34.31
pitch+formant+mcadams      13     0.6795               6.21              43.79
pitch+formant+mcadams      14     1.0000               6.21              46.73
pitch+formant+mcadams      15     1.0000               6.21              34.65
